authors,title
R.A. Salvatore,"Exile (Forgotten Realms: The Dark Elf Trilogy, #2; Legend of Drizzt, #2)"
Amanda Hocking,"Ascend (Trylle, #3)"
"Jussi Adler-Olsen, Lisa Hartford","The Keeper of Lost Causes (Department Q, #1)"
Gabriel García Márquez,Of Love and Other Demons
Rick Riordan,The Demigod Files (Percy Jackson and the Olympians)
Oliver Sacks,Musicophilia: Tales of Music and the Brain
Stephen King,"End of Watch (Bill Hodges Trilogy, #3)"
Christopher Moore,Fool
John Connolly,The Book of Lost Things
Bill Clinton,My Life
"Frank Miller, Lynn Varley",300
Linda Sue Park,"Storm Warning (The 39 Clues, #9)"
Ally Carter,"Only the Good Spy Young (Gallagher Girls, #4)"
Lee Child,"Persuader (Jack Reacher, #7)"
Charlaine Harris,"Grave Sight (Harper Connelly, #1)"
"Jo Nesbø, Don Bartlett","Flaggermusmannen (Harry Hole, #1)"
Nora Roberts,"Blood Brothers (Sign of Seven, #1)"
Jodi Picoult,Picture Perfect
"Nobuhiro Watsuki, Kenichiro Yagi","Rurouni Kenshin, Vol. 1: Meiji Swordsman Romantic Story (Rurouni Kenshin, #1)"
Miranda Kenneally,Catching Jordan
Joe Simpson,Touching the Void: The True Story of One Man's Miraculous Survival
Colleen Hoover,"This Girl (Slammed, #3)"
Simms Taback,There Was an Old Lady Who Swallowed a Fly
Dan Millman,Way of the Peaceful Warrior: A Book That Changes Lives
Salman Rushdie,The Satanic Verses
Barbara Demick,Nothing to Envy: Ordinary Lives in North Korea
"Jack Welch, Suzy Welch",Winning
Gail McHugh,"Collide (Collide, #1)"
Jonah Lehrer,How We Decide
Laurie R. King,"The Beekeeper's Apprentice (Mary Russell, #1)"
"Jean de Brunhoff, Merle S. Haas",The Story of Babar
Michael Scott,"The Warlock (The Secrets of the Immortal Nicholas Flamel, #5)"
Jim Butcher,"First Lord's Fury (Codex Alera, #6)"
Tom Rachman,The Imperfectionists
Katja Millay,The Sea of Tranquility
"Marjane Satrapi, Anjali Singh","Persepolis 2: The Story of a Return (Persepolis, #2)"
Terry Pratchett,"Pyramids (Discworld, #7)"
Raymond E. Feist,"Silverthorn (The Riftwar Saga, #3)"
Jenny Downham,Before I Die
Elizabeth Gilbert,Committed: A Skeptic Makes Peace with Marriage
Sarah Dessen,Keeping the Moon
Veronica Roth,"The Transfer (Divergent, #0.1)"
Terry Goodkind,"Chainfire (Sword of Truth, #9)"
"Julia Child, Simone Beck, Louisette Bertholle",Mastering the Art of French Cooking
"Kazue Kato, John Werry","Blue Exorcist, Vol. 1  (Blue Exorcist, #1)"
Terry Goodkind,"Confessor (Sword of Truth, #11)"
Mohsin Hamid,The Reluctant Fundamentalist
Jennifer A. Nielsen,The False Prince (The Ascendance Trilogy #1)
John Updike,"Rabbit, Run (Rabbit Angstrom #1)"
Daniel Todd Gilbert,Stumbling on Happiness
T.S. Eliot,The Waste Land and Other Poems
"Else Holmelund Minarik, Maurice Sendak",Little Bear
Edgar Allan Poe,The Pit and the Pendulum
Terry Pratchett,"Lords and Ladies (Discworld, #14; Witches #4)"
Terry Pratchett,"Thud! (Discworld, #34; City Watch #7)"
Naomi Novik,"His Majesty's Dragon (Temeraire, #1)"
"Holly Black, Tony DiTerlizzi","The Field Guide (The Spiderwick Chronicles, #1)"
David Platt,Radical: Taking Back Your Faith from the American Dream
"Robert Greene, Joost Elffers",The 48 Laws of Power
Jean Craighead George,"My Side of the Mountain (Mountain, #1)"
"Susanna Kearsley, Rosalyn Landor","The Winter Sea (Slains, #1)"
Peter Lerangis,"The Sword Thief (The 39 Clues, #3)"
Robin Cook,Coma
"Hubert Selby Jr., Darren Aronofsky, Richard Price",Requiem for a Dream
Erin Hunter,"Into the Wild (Warriors, #1)"
Dee Brown,Bury My Heart at Wounded Knee: An Indian History of the American West
"Władysław Szpilman, Anthea Bell","The Pianist: The Extraordinary Story of One Man's Survival in Warsaw, 1939–45"
Maya Banks,"Rush (Breathless, #1)"
"Ian Edginton, Oscar Wilde, I.N.J. Culbard",The Picture of Dorian Gray: A Graphic Novel
Robert McCammon,Swan Song
Kazuo Ishiguro,The Buried Giant
China Miéville,"Perdido Street Station (Bas-Lag, #1)"
Carrie Jones,"Need (Need, #1)"
Terry Pratchett,"Witches Abroad (Discworld, #12; Witches #3)"
"Geoffrey Crayon, Washington Irving, William L. Hedges",The Legend of Sleepy Hollow and Other Stories
Frank Herbert,Heretics of Dune (Dune Chronicles #5)
"David Wilkerson, John Sherrill, Elizabeth Sherrill",The Cross and the Switchblade
Jim Butcher,"Captain's Fury (Codex Alera, #4)"
Chuck Palahniuk,"Damned (Damned, #1)"
Cynthia Lord,Rules
Karen Russell,Swamplandia!
Michael Connelly,"The Last Coyote (Harry Bosch, #4; Harry Bosch Universe, #4)"
Mark Kurlansky,Salt: A World History
"Charlotte Brontë, A.S. Byatt, Μαρία Λαϊνά, Ignes Sodre",Villette
Neal Stephenson,Reamde
Terry Pratchett,"Soul Music (Discworld, #16; Death, #3)"
Janet Evanovich,"Notorious Nineteen (Stephanie Plum, #19)"
Richard Dawkins,The Greatest Show on Earth: The Evidence for Evolution
Frank Miller,"Sin City, Vol. 1: The Hard Goodbye (Sin City, #1)"
Og Mandino,The Greatest Salesman in the World
Ian Fleming,"Casino Royale (James Bond, #1)"
Paullina Simons,"The Bronze Horseman (The Bronze Horseman, #1)"
Toni Morrison,Sula
A.G. Riddle,"The Atlantis Gene (The Origin Mystery, #1)"
Philippa Gregory,"The Red Queen (The Plantagenet and Tudor Novels, #3)"
Julie James,"Something About You (FBI/US Attorney, #1)"
Dr. Seuss,Mr. Brown Can Moo! Can You?
"Stephen King, Peter Straub","Black House (The Talisman, #2)"
"Neil Gaiman, Andy Kubert, Richard Isanove, Peter Sanderson",Marvel 1602
Vince Flynn,"Act of Treason (Mitch Rapp, #9)"
Peter Heller,The Dog Stars
John le Carré,The Spy Who Came In from the Cold
Jim Butcher,"Academ's Fury (Codex Alera, #2)"
James Patterson,"When the Wind Blows (When the Wind Blows, #1)"
"Haruki Murakami, 村上 春樹","1Q84 BOOK 1 (1Q84, #1)"
"Paulo Coelho, Alan R. Clarke",The Pilgrimage
Lee Child,"The Hard Way (Jack Reacher, #10)"
Sheila Burnford,The Incredible Journey
Geraldine Brooks,March
"Lee Child, Dick Hill","A Wanted Man (Jack Reacher, #17)"
"Grant Morrison, Frank Quitely","All-Star Superman, Vol. 1"
George R.R. Martin,"A Song of Ice and Fire (A Song of Ice and Fire, #1-5)"
Nora Roberts,"Dark Witch (The Cousins O'Dwyer Trilogy, #1)"
Alyson Noel,"Dark Flame (The Immortals, #4)"
Fiona Barton,The Widow
Patrick Carman,"The Black Circle (The 39 Clues, #5)"
Kiera Cass,"The Prince (The Selection, #0.5)"
Marie Rutkoski,"The Winner's Curse (The Winner's Trilogy, #1)"
Sapphire,Push
"Elena Ferrante, Ann Goldstein",The Story of a New Name (The Neapolitan Novels #2)
Arthur C. Clarke,"2010: Odyssey Two (Space Odyssey, #2)"
Atsushi Ohkubo,"Soul Eater, Vol. 01 (Soul Eater, #1)"
William Kent Krueger,Ordinary Grace
David Baldacci,Last Man Standing
Gene Luen Yang,American Born Chinese
"Eugene Bradley Coco, Ron Dias, Walt Disney Company",Peter Pan (A Little Golden Book)
K.A. Tucker,"Ten Tiny Breaths (Ten Tiny Breaths, #1)"
David Mitchell,The Thousand Autumns of Jacob de Zoet
Christopher Marlowe,Dr. Faustus
Sherrilyn Kenyon,Dance with the Devil (Dark-Hunter #3)
Candace Bushnell,Lipstick Jungle
James Patterson,"Violets Are Blue (Alex Cross, #7)"
"Anthony Robbins, Tony Robbins, Frederick L. Covan","Awaken the Giant Within: How to Take Immediate Control of Your Mental, Emotional, Physical and Financial Destiny!"
Laurell K. Hamilton,"Blue Moon (Anita Blake, Vampire Hunter, #8)"
Laurell K. Hamilton,"Burnt Offerings (Anita Blake, Vampire Hunter, #7)"
Diane Chamberlain,"The Silent Sister (Riley MacPherson, #1)"
Kurt Vonnegut Jr.,Player Piano
Arthur Conan Doyle,"The Lost World (Professor Challenger, #1)"
Terry Pratchett,"Monstrous Regiment (Discworld, #31; Industrial Revolution, #3)"
Octavia E. Butler,Kindred
"Laura Ingalls Wilder, Garth Williams","The Long Winter (Little House, #6)"
"Henry Cloud, John Townsend","Boundaries: When to Say Yes, How to Say No to Take Control of Your Life"
Maggie Stiefvater,"Blue Lily, Lily Blue (The Raven Cycle, #3)"
"Philip Roth, Luca Marinelli",Portnoy's Complaint
"John C. Maxwell, Zig Ziglar",The 21 Irrefutable Laws of Leadership: Follow Them and People Will Follow You
Margaret Atwood,Cat's Eye
J. Sterling,"The Perfect Game (The Perfect Game, #1)"
Patrick Ness,"Monsters of Men (Chaos Walking, #3)"
Orson Scott Card,"Shadow of the Giant (Ender's Shadow, #4)"
Brian Selznick,Wonderstruck
Sarah Ban Breathnach,Simple Abundance:  A Daybook of Comfort and Joy
Moira Young,"Blood Red Road (Dust Lands, #1)"
"James Patterson, Maxine Paetro","The 6th Target (Women's Murder Club, #6)"
"Edgar Rice Burroughs, John Seelye","A Princess of Mars (Barsoom, #1)"
Margaret Atwood,"MaddAddam (MaddAddam, #3)"
"Laura Ingalls Wilder, Garth Williams","These Happy Golden Years (Little House, #8)"
Victoria Finlay,Color: A Natural History of the Palette
John Grisham,Skipping Christmas
Michael Connelly,"The Black Ice (Harry Bosch, #2; Harry Bosch Universe, #2)"
Kristin Hannah,Home Front
Christina Lauren,"Beautiful Stranger (Beautiful Bastard, #2)"
Libba Bray,"The Sweet Far Thing (Gemma Doyle, #3)"
Ernest J. Gaines,A Lesson Before Dying
David Sedaris,SantaLand Diaries
Nicholas Sparks,See Me
Sophie Kinsella,"Mini Shopaholic (Shopaholic, #6)"
"Gene Zion, Margaret Bloy Graham",Harry the Dirty Dog
Jennifer Weiner,All Fall Down
George Orwell,Down and Out in Paris and London
Hiro Fujiwara,"Maid-sama! Vol. 01 (Maid-sama!, #1)"
Nick Bantock,Griffin and Sabine (Griffin & Sabine #1)
Leigh Bardugo,"Ruin and Rising (Shadow and Bone, #3)"
أحمد خالد توفيق,يوتوبيا
Jennifer Weiner,Certain Girls (Cannie Shapiro #2)
Cheryl Strayed,Tiny Beautiful Things: Advice on Love and Life from Dear Sugar
Karen Marie Moning,"Beyond the Highland Mist (Highlander, #1)"
Ann Rule,The Stranger Beside Me: Ted Bundy The Shocking Inside Story
Claudia Gray,"Stargazer (Evernight, #2)"
Michael Crichton,Rising Sun
Sidney Sheldon,The Other Side of Midnight (Midnight #1)
Michael Connelly,"The Reversal (Harry Bosch, #16; Mickey Haller, #4; Harry Bosch Universe, #19)"
"Louis Sachar, Joel Schick",Wayside School Is Falling Down (Wayside School #2)
"Julie Orringer, Arthur Morey",The Invisible Bridge
Pittacus Lore,"The Fall of Five (Lorien Legacies, #4)"
"Thomas Hardy, Keith Wilson",The Mayor of Casterbridge
John Steinbeck,The Red Pony
Jo Nesbø,"The Devil's Star (Harry Hole, #5)"
Alice Hoffman,Here on Earth
"Anne Rice, Tim Curry","Taltos (Lives of the Mayfair Witches, #3)"
Laurell K. Hamilton,"Obsidian Butterfly (Anita Blake, Vampire Hunter, #9)"
Peter V. Brett,"The Daylight War (Demon Cycle, #3)"
John Grisham,The Appeal
Tamora Pierce,"The Woman Who Rides Like a Man (Song of the Lioness, #3)"
Ben Aaronovitch,"Midnight Riot (Peter Grant, #1)"
Marian Keyes,Lucy Sullivan Is Getting Married
Terry Pratchett,"A Hat Full of Sky (Discworld, #32; Tiffany Aching, #2)"
Vikram Seth,"A Suitable Boy (A Suitable Boy, #1)"
Chimamanda Ngozi Adichie,We Should All Be Feminists
Patricia Briggs,"River Marked (Mercy Thompson, #6)"
Amy Sedaris,I Like You: Hospitality Under the Influence
William Gibson,"Pattern Recognition (Blue Ant, #1)"
Peter  Swanson,The Kind Worth Killing
Patricia Schultz,"1,000 Places to See Before You Die"
"Angie Sage, Mark Zug","Physik (Septimus Heap, #3)"
"Roald Dahl, Quentin Blake",Boy: Tales of Childhood
Anne Lamott,Traveling Mercies: Some Thoughts on Faith
Vince Flynn,"Memorial Day (Mitch Rapp, #7)"
Tamora Pierce,"Wild Magic (Immortals, #1)"
Isaac Asimov,Prelude to Foundation
Max Lucado,"You Are Special (Wemmicksville, #1)"
Renee Ahdieh,"The Wrath and the Dawn (The Wrath and the Dawn, #1)"
"Nicholas D. Kristof, Sheryl WuDunn",Half the Sky: Turning Oppression into Opportunity for Women Worldwide
"Daniel Handler, Maira Kalman",Why We Broke Up
Sarah J. Maas,"The Assassin's Blade (Throne of Glass, #0.1-0.5)"
Curtis Sittenfeld,American Wife
Jim Butcher,"Cursor's Fury (Codex Alera, #3)"
Mary Doria Russell,"The Sparrow (The Sparrow, #1)"
Jodi Picoult,Mercy
Charlie N. Holmberg,"The Paper Magician (The Paper Magician Trilogy, #1)"
Steve Harvey,"Act Like a Lady, Think Like a Man: What Men Really Think About Love, Relationships, Intimacy, and Commitment"
Candice Millard,"Destiny of the Republic: A Tale of Madness, Medicine and the Murder of a President"
"Shirley Jackson, Jonathan Lethem",We Have Always Lived in the Castle
Emerson Eggerichs,Love and Respect: The Love She Most Desires
Michael Connelly,"The Brass Verdict (Harry Bosch, #14; Mickey Haller, #2; Harry Bosch Universe, #17)"
Timothy Zahn,Dark Force Rising
Lee Child,"Never Go Back (Jack Reacher, #18)"
Gail Carson Levine,The Two Princesses of Bamarre
"Richard Wright, Jerry W. Ward Jr.",Black Boy
Lalita Tademy,Cane River
Terry Goodkind,"Phantom (Sword of Truth, #10)"
Isaac Asimov,Foundation and Earth (Foundation #5)
"James D. Bradley, Ron Powers",Flags of Our Fathers
"A.A. Milne, Ernest H. Shepard","The World of Winnie-the-Pooh (Winnie-the-Pooh, #1-2)"
Mahatma Gandhi,The Story of My Experiments With Truth
"Lance Armstrong, Sally Jenkins",It's Not About the Bike: My Journey Back to Life
Stephen E. Ambrose,Undaunted Courage: The Pioneering First Mission to Explore America's Wild Frontier
Helen Macdonald,H is for Hawk
David Nicholls,Us
R.A. Salvatore,"Sojourn (Forgotten Realms: The Dark Elf Trilogy, #3; Legend of Drizzt, #3)"
"Christopher Yost, Orson Scott Card, Pasqual Ferry, Frank D'Armata","Ender's Game, Volume 1: Battle School (Ender's Saga)"
"Karuho Shiina, Tomo Kimura","Kimi ni Todoke: From Me to You, Vol. 1"
Dean Koontz,False Memory
Terry Pratchett,"Moving Pictures (Discworld, #10; Industrial Revolution, #1)"
C.J. Roberts,"Captive in the Dark (The Dark Duet, #1)"
James Allen,As a Man Thinketh
Mary Roach,Bonk: The Curious Coupling of Science and Sex
Rachel Caine,"Midnight Alley (The Morganville Vampires, #3)"
"Nina George, Simon Pare",The Little Paris Bookshop
Ian McEwan,Sweet Tooth
Abbi Glines,"Twisted Perfection (Rosemary Beach, #5; Perfection, #1)"
Tom Clancy,"Executive Orders (Jack Ryan Universe, #9)"
Ann Voskamp,One Thousand Gifts: A Dare to Live Fully Right Where You Are
Robert Bloch,Psycho
Robin Hobb,"Ship of Magic (Liveship Traders, #1)"
"Alistair MacLean, Clint Willis",Where Eagles Dare 
Maeve Binchy,Circle of Friends
Rupi Kaur,Milk and Honey
Tom Clancy,"Rainbow Six (Jack Ryan Universe, #10)"
Neil Gaiman,Fragile Things: Short Fictions and Wonders
Rosamund Lupton,Sister
"Liu Cixin, Ken Liu","The Three-Body Problem (Remembrance of Earth’s Past, #1)"
Terry Pratchett,"Thief of Time (Discworld, #26; Death, #5)"
"Mark Millar, Kilian Plunkett, Andrew Robinson, Walden Wong, Dave Johnson",Superman: Red Son
Julia Glass,Three Junes
"Benjamin Franklin, Lewis Leary",The Autobiography of Benjamin Franklin
Timothy J. Keller,The Reason for God: Belief in an Age of Skepticism
Mark  Lawrence,"King of Thorns (The Broken Empire, #2)"
Jeffrey Archer,"The Sins of the Father (The Clifton Chronicles, #2)"
Meg Cabot,"Shadowland (The Mediator, #1)"
Sara Shepard,"Killer (Pretty Little Liars, #6)"
"W. Chan Kim, Renée Mauborgne",Blue Ocean Strategy: How To Create Uncontested Market Space And Make The Competition Irrelevant
James Patterson,"Fang (Maximum Ride, #6)"
Sarah Addison Allen,The Peach Keeper
"Audrey Wood, Don    Wood",The Napping House
Matthew FitzSimmons,"The Short Drop (Gibson Vaughn, #1)"
Christopher Moore,"You Suck (A Love Story, #2)"
Jamie McGuire,"Beautiful Oblivion (The Maddox Brothers, #1)"
Vernor Vinge,"A Fire Upon the Deep (Zones of Thought, #1)"
Eckhart Tolle,"Practicing the Power of Now: Essential Teachings, Meditations, and Exercises from the Power of Now"
Caroline B. Cooney,"The Face on the Milk Carton (Janie Johnson, #1)"
Robert Lopshire,Put Me in the Zoo
Sophie Jordan,"Firelight (Firelight, #1)"
"Italo Calvino, William Weaver",Invisible Cities
Jessica Park,"Flat-Out Love (Flat-Out Love, #1)"
Richard Flanagan,The Narrow Road to the Deep North
"A.N. Roquelaure, Anne Rice","The Claiming of Sleeping Beauty (Sleeping Beauty, #1)"
Jennifer Worth,"The Midwife: A Memoir of Birth, Joy, and Hard Times"
Hunter S. Thompson,Hell's Angels: A Strange and Terrible Saga
Jennifer Weiner,Then Came You
L.J. Smith,"The Awakening (The Vampire Diaries, #1)"
Susan Elizabeth Phillips,"It Had to Be You (Chicago Stars, #1)"
Michael   Lewis,Boomerang: Travels in the New Third World
Jennifer Weiner,Fly Away Home
"Stendhal, Roger Gard",The Red and the Black
Philippa Gregory,"The Virgin's Lover (The Plantagenet and Tudor Novels, #13)"
Catherine Fisher,"Incarceron (Incarceron, #1)"
C.C. Hunter,"Awake at Dawn (Shadow Falls, #2)"
Bev Vincent,The Road to the Dark Tower: Exploring Stephen King's Magnum Opus
Josephine Angelini,"Starcrossed (Starcrossed, #1)"
Alyson Noel,"Night Star (The Immortals, #5)"
N.H. Kleinbaum,Dead Poets Society
Emily Bleeker,Wreckage
Terry Pratchett,"The Fifth Elephant (Discworld, #24; City Watch, #5)"
John Flanagan,"The Sorcerer in the North (Ranger's Apprentice, #5)"
Paramahansa Yogananda,Autobiography of a Yogi
Kevin Hearne,"Hexed (The Iron Druid Chronicles, #2)"
"Alvin Schwartz, Stephen Gammell","Scary Stories to Tell in the Dark (Scary Stories, #1)"
Harlan Coben,Fool Me Once
John Hersey,Hiroshima
Jennifer Brown,Hate List
Kasie West,The Distance Between Us
Karen Armstrong,"A History of God: The 4,000-Year Quest of Judaism, Christianity, and Islam"
James S.A. Corey,"Abaddon's Gate (The Expanse, #3)"
"Pablo Neruda, W.S. Merwin, Cristina García",Twenty Love Poems and a Song of Despair
Tom Clancy,"The Cardinal of the Kremlin (Jack Ryan Universe, #5)"
David Shannon,"No, David!"
"Thomas More, Paul Turner",Utopia
"Pseudonymous Bosch, Gilbert Ford","The Name of This Book Is Secret (Secret, #1)"
Danielle  Paige,"Dorothy Must Die (Dorothy Must Die, #1)"
Dean Koontz,The Husband
Aimee Bender,The Particular Sadness of Lemon Cake
James Patterson,"The Big Bad Wolf  (Alex Cross, #9)"
"Dai Sijie, Ina Rilke",Balzac and the Little Chinese Seamstress
Roxane Gay,Bad Feminist
V.C. Andrews,"Petals on the Wind (Dollanganger, #2)"
"Roald Dahl, Quentin Blake",Danny the Champion of the World
Amy Chua,Battle Hymn of the Tiger Mother
Noelle Stevenson,Nimona
Giada De Laurentiis,Everyday Italian: 125 Simple and Delicious Recipes
Patricia Cornwell,"From Potter's Field (Kay Scarpetta, #6)"
James Patterson,"Mary, Mary (Alex Cross, #11)"
Jeanette Winterson,Oranges Are Not the Only Fruit
R.K. Lilley,"Grounded (Up in the Air, #3)"
Ravinder Singh,I Too Had a Love Story
"Betty MacDonald, Alexandra Boiger","Mrs. Piggle-Wiggle (Mrs. Piggle Wiggle, #1)"
Michael Connelly,"Trunk Music (Harry Bosch, #5; Harry Bosch Universe, #6)"
Dan   Harris,"10% Happier: How I Tamed the Voice in My Head, Reduced Stress Without Losing My Edge, and Found Self-Help That Actually Works"
"Ina Garten, Quentin Bacon",Barefoot Contessa at Home: Everyday Recipes You'll Make Over and Over Again
Michael Connelly,"Blood Work (Harry Bosch Universe, #8; Terry McCaleb #1)"
Isaac Asimov,The Gods Themselves
Peter Lerangis,"The Viper's Nest (39 Clues, #7)"
Sena Jeter Naslund,"Ahab's Wife, or The Star-Gazer"
"CLAMP, Anthony Gerard","Tsubasa: RESERVoir CHRoNiCLE, Vol. 01"
Darren Shan,"A Living Nightmare (Cirque Du Freak, #1)"
"Alan Moore, Kevin O'Neill","The League of Extraordinary Gentlemen, Vol. 1"
M.T. Anderson,Feed
Nalini Singh,"Angels' Blood (Guild Hunter, #1)"
"Euripides, Rex Warner",Medea
Cinda Williams Chima,"The Demon King (Seven Realms, #1)"
Hannah Hurnard,Hinds' Feet on High Places
Charles Burns,Black Hole
"Brian K. Vaughan, Fiona Staples","Saga, Vol. 3 (Saga, #3)"
Lee Child,"Personal (Jack Reacher, #19)"
Therese Anne Fowler,Z: A Novel of Zelda Fitzgerald
Kurt Vonnegut Jr.,A Man Without a Country
Catherine Ryan Hyde,When I Found You
Martha Hall Kelly,Lilac Girls
"James Patterson, Maxine Paetro","7th Heaven (Women's Murder Club, #7)"
Lee Child,"Make Me (Jack Reacher, #20)"
Anthony Marra,A Constellation of Vital Phenomena
